Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2020","2020","kt","70.957878","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2021","2021","kt","93.078128","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1990","1990","kt","0.002907","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1991","1991","kt","0.003121","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1992","1992","kt","0.002639","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1993","1993","kt","0.002695","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1994","1994","kt","0.003146","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1995","1995","kt","0.002338","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1996","1996","kt","0.002702","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1997","1997","kt","0.002439","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1998","1998","kt","0.002339","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","1999","1999","kt","0.002362","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2000","2000","kt","0.002083","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2001","2001","kt","0.001827","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2002","2002","kt","0.002122","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2003","2003","kt","0.000746","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2004","2004","kt","0.000187","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2005","2005","kt","0.000678","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2006","2006","kt","0.000869","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2007","2007","kt","0.002884","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2008","2008","kt","0.003265","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2009","2009","kt","0.002591","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2010","2010","kt","0.003134","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2011","2011","kt","0.003065","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2012","2012","kt","0.003153","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2013","2013","kt","0.002666","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2014","2014","kt","0.002929","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2015","2015","kt","0.003102","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2016","2016","kt","0.00268","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2017","2017","kt","0.003409","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2018","2018","kt","0.003794","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2019","2019","kt","0.003133","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2020","2020","kt","0.002601","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6997","Pesticides Manufacturing","2021","2021","kt","0.003721","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1990","1990","kt","0.000692","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1991","1991","kt","0.000788","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1992","1992","kt","0.000591","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1993","1993","kt","0.000564","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1994","1994","kt","0.00066","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1995","1995","kt","0.000523","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1996","1996","kt","0.0006","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1997","1997","kt","0.000581","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1998","1998","kt","0.000523","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","1999","1999","kt","0.000529","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2000","2000","kt","0.000505","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2001","2001","kt","0.000473","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2002","2002","kt","0.000475","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2003","2003","kt","0.000188","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2004","2004","kt","0.000047","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2005","2005","kt","0.000161","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2006","2006","kt","0.000193","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2007","2007","kt","0.000641","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2008","2008","kt","0.000726","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2009","2009","kt","0.000543","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2010","2010","kt","0.000622","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2011","2011","kt","0.000643","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2012","2012","kt","0.000625","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2013","2013","kt","0.000528","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2014","2014","kt","0.000547","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2015","2015","kt","0.000579","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2016","2016","kt","0.000527","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2017","2017","kt","0.000626","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2018","2018","kt","0.000696","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2019","2019","kt","0.000608","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2020","2020","kt","0.000487","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6997","Pesticides Manufacturing","2021","2021","kt","0.000721","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1990","1990","kt","1211.86452","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1991","1991","kt","1270.63338","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1992","1992","kt","1119.814171","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1993","1993","kt","1161.40179","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1994","1994","kt","1252.040305","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1995","1995","kt","1272.816136","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1996","1996","kt","1120.459678","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1997","1997","kt","1196.292486","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1998","1998","kt","1101.739242","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","1999","1999","kt","1005.251191","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2000","2000","kt","1123.80816","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2001","2001","kt","1199.881134","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2002","2002","kt","1406.469699","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2003","2003","kt","1344.286559","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2004","2004","kt","1378.395249","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2005","2005","kt","1404.666947","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2006","2006","kt","1398.050592","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2007","2007","kt","1308.914102","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2008","2008","kt","1266.374616","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2009","2009","kt","1280.841979","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2010","2010","kt","1441.208993","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2011","2011","kt","1473.769803","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2012","2012","kt","1357.771448","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2013","2013","kt","1198.27374","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2014","2014","kt","1174.549536","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2015","2015","kt","1249.268567","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2016","2016","kt","1150.33579","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2017","2017","kt","1164.864707","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2018","2018","kt","1121.96197","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2019","2019","kt","1116.358538","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2020","2020","kt","1138.221731","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6507","Food Processing","2021","2021","kt","1187.343832","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1990","1990","kt","0.032425","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1991","1991","kt","0.034138","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1992","1992","kt","0.032155","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1993","1993","kt","0.035924","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1994","1994","kt","0.036907","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1995","1995","kt","0.035431","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1996","1996","kt","0.035042","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1997","1997","kt","0.033607","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1998","1998","kt","0.031856","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","1999","1999","kt","0.028501","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2000","2000","kt","0.028239","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2001","2001","kt","0.030463","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2002","2002","kt","0.038593","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2003","2003","kt","0.038304","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2004","2004","kt","0.040862","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2005","2005","kt","0.042246","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2006","2006","kt","0.046096","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2007","2007","kt","0.047324","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2008","2008","kt","0.046126","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2009","2009","kt","0.049703","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2010","2010","kt","0.055143","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2011","2011","kt","0.05533","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2012","2012","kt","0.055224","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2013","2013","kt","0.04836","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2014","2014","kt","0.04842","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2015","2015","kt","0.05192","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2016","2016","kt","0.043342","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2017","2017","kt","0.043336","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2018","2018","kt","0.042537","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2019","2019","kt","0.035661","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2020","2020","kt","0.035719","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7225","Emissions (CH4)","6507","Food Processing","2021","2021","kt","0.037537","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1990","1990","kt","0.00733","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1991","1991","kt","0.008372","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1992","1992","kt","0.006867","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1993","1993","kt","0.006976","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1994","1994","kt","0.00709","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1995","1995","kt","0.007513","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1996","1996","kt","0.006963","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1997","1997","kt","0.00691","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1998","1998","kt","0.006046","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","1999","1999","kt","0.005164","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2000","2000","kt","0.005239","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2001","2001","kt","0.006234","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2002","2002","kt","0.006383","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2003","2003","kt","0.007927","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2004","2004","kt","0.008827","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2005","2005","kt","0.008286","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2006","2006","kt","0.009171","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2007","2007","kt","0.008859","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2008","2008","kt","0.008537","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2009","2009","kt","0.008616","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2010","2010","kt","0.009884","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2011","2011","kt","0.010797","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2012","2012","kt","0.009866","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2013","2013","kt","0.008553","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2014","2014","kt","0.007749","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7230","Emissions (N2O)","6507","Food Processing","2015","2015","kt","0.007763","E","Estimated value"
